,Date,Zpid,time,Price,pricePerSquareFoot,priceChangeRate,event,Agency,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
0,28/09/2006,31546574,1.6962E+12,6500000,3232,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,07/12/2018,31546574,1.68774E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,07/09/2019,31546574,1.67512E+12,6500000,3232,-0.171974522,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,11/09/2019,31546574,1.65223E+12,7850000,3904,0.401691851,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
4,17/09/2019,31546574,1.36806E+12,5600375,2785,-0.690002268,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
5,18/09/2019,31546574,1.20364E+12,18065858,8984,1.9287089,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
6,20/09/2019,31546574,1.18912E+12,6168540,3067,-0.914527643,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
7,22/09/2019,31546574,1.1594E+12,72170000,35888,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,26/09/2019,31546574,1.6962E+12,695000,695,0.03115727,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,28/09/2019,31546574,1.68748E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,05/10/2019,31546574,1.67996E+12,674000,674,0.038520801,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,07/10/2019,31546574,1.67184E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
4,09/10/2019,31546574,1.66666E+12,649000,649,-0.037091988,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
5,11/10/2019,31546574,1.66415E+12,674000,674,-0.035765379,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
6,17/10/2019,31546574,1.65966E+12,699000,699,0.644705882,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
7,21/10/2019,31546574,1.17677E+12,425000,425,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,23/10/2019,31546574,1.6962E+12,399000,570,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,26/10/2019,31546574,1.6962E+12,6900000,,-0.013581129,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,27/10/2019,31546574,1.68843E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,29/10/2019,31546574,1.68299E+12,6995000,,-0.028472222,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,30/10/2019,31546574,1.67884E+12,7200000,,-0.026369168,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
4,04/11/2019,31546574,1.66147E+12,7395000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
5,07/11/2019,31546574,1.65629E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
6,10/11/2019,31546574,1.65145E+12,7395000,,-0.014,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
7,13/11/2019,31546574,1.64687E+12,7500000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
8,14/11/2019,31546574,1.6194E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
9,29/09/2023,31546574,1.5844E+12,7500000,,0,Listed for sale,Corcoran,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Corcoran', 'infoString3': None}"
0,23/06/1999,55501233,1.6962E+12,3495000,2835,0.28021978,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,01/03/2013,55501233,1.37281E+12,2730000,2214,0.240909091,Sold,Public Record,,"{'photo': {'url': 'https://photos.zillowstatic.com/h_e/IS-1ts4cgpu00ajh.jpg'}, 'profileUrl': '/profile/user964070/', 'name': 'Frank Arends'}",FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
2,03/07/2013,55501233,1.3621E+12,2200000,1784,2.151862464,Listed for sale,"Town Residential, LLC",,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Town Residential, LLC', 'infoString3': None}"
3,02/10/2023,55501233,9.30096E+11,698000,566,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,28/09/2006,69524580,1.6962E+12,1250000,1136,0.000800641,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,07/09/2007,69524580,1.68618E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,22/02/2008,69524580,1.68005E+12,1249000,1135,-0.031782946,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,09/05/2013,69524580,1.67962E+12,1290000,1173,-0.006928406,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
4,11/05/2022,69524580,1.66666E+12,1299000,1181,-0.037777778,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
5,31/01/2023,69524580,1.66329E+12,1350000,1227,-0.032258065,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
6,26/06/2023,69524580,1.65698E+12,1395000,1268,-0.021052632,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
7,02/10/2023,69524580,1.65456E+12,1425000,1295,-0.033898305,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
